id товара,наименование,ссылка на товар,регулярная цена,промо цена,бренд
119027,"Голень из мяса цыпленка-бройлера «Каждый день» охлажденная, (0,6 - 1,3 кг), 1 упаковка ~ 1 кг",https://www.auchan.ru/product/kdgolen_cb_ohl_lotok/,268.99,,Каждый день
121405,"Филе грудки цыпленка-бройлера «Своя» (0,5-1 кг), 1 упаковка ~ 0,8 кг",https://www.auchan.ru/product/svoya_file_cb_ohl_lotok/,456.99,,СВОЯ
220647,"Филе бедра цыпленка-бройлера «Латифа», вес",https://www.auchan.ru/product/file-bedra-latifa-ohl-kg/,465.99,,Латифа
55956,"Бедро куриное «Первая свежесть» охлажденное (0,6 - 0,9 кг), 1 упаковка ~ 0,7 кг",https://www.auchan.ru/product/bedro_kurin_natur_ohlelipar/,282.99,,Первая свежесть
180369,"Грудка без кожи «Первая свежесть» (0,5-0,9 кг), 1 упаковка ~ 0,75 кг",https://www.auchan.ru/product/grudka-bez-kozhi/,328.99,,Первая свежесть
125445,"Социальный товар Тушка цыпленка-бройлера, 1 упаковка ~ 2,5 кг",https://www.auchan.ru/product/kdcypl_broyler_ohlazhd/,179.97,,Каждый день
56691,"Грудка куриная «Первая свежесть» целая охлажденная (0,6 - 0,9 кг), 1 упаковка ~ 0,7 кг",https://www.auchan.ru/product/grudka_celaya_podl/,339.99,,Первая свежесть
55873,"Тушка куриная «Петелинка» охлажденная (1,2 - 1,5 кг), 1 упаковка ~ 1,3 кг",https://www.auchan.ru/product/cyplbroyler1kat_ohlpetel/,231.99,,Петелинка
56730,"Грудка куриная «Латифа» Халяль с кожей охлажденная (0,6 - 0,9 кг), 1 упаковка ~ 0,7 кг",https://www.auchan.ru/product/grudka_s_kozhey_latifa_ohl/,314.99,,Латифа
57132,"Крылья цыплят-бройлеров An-Noor Халяль охлажденное (0,9 - 1,2 кг), 1 упаковка ~ 1 кг",https://www.auchan.ru/product/krylo_cb_halyal_5kg_ohllotok/,332.99,,An-Noor
56343,"Грудка цыплят-бройлеров «Наша Птичка» охлажденная (0,9 - 1,2 кг), 1 упаковка ~ 1 кг",https://www.auchan.ru/product/grudka_cb_nasha_ptichka_ohllot/,327.99,,Наша птичка
56574,"Голень цыпленка-бройлера «Моссельпром» с кожей охлажденная (0,8 - 1,1 кг), 1 упаковка ~ 0,9 кг",https://www.auchan.ru/product/golen_ohlpodllotok/,317.99,,Моссельпром
58385,"Набор суповой «Домашняя курочка» из спинок цыпленка (0,9 - 1,2 кг), 1 упаковка ~ 1 кг",https://www.auchan.ru/product/nabor_dlya_supaohl_ves/,213.99,,Домашняя курочка
153968,"Голень цыпленка-бройлера «Петруха» Alfoor охлажденная, 750 г",https://www.auchan.ru/product/golen-hal-alfoor-750-gr-ohl/,243.99,,Петруха
56733,"Голень куриная «Латифа» Халяль с кожей охлажденная (0,8 - 1,1 кг), 1 упаковка ~ 0,9 кг",https://www.auchan.ru/product/golen_s_kozhey_latifa_ohl/,313.99,,Латифа
56345,"Окорок цыплят-бройлеров «Наша Птичка» охлажденный (0,9 - 1,2 кг), 1 упаковка ~ 1 кг",https://www.auchan.ru/product/okorok_cb_nasha_ptichka_ohllot/,261.99,,Наша птичка
12867,"Голень цыпленка-бройлера «Троекурово» охлажденная, 900 г",https://www.auchan.ru/product/golen-cyplenka-broylera-troekurovo-ohlazhdennaya-900-g/,312.99,,Троекурово
121412,"Набор для тушения из цыпленка-бройлера «Своя» (0,5-1 кг), 1 упаковка ~ 0,8 кг",https://www.auchan.ru/product/svoya_nabor_dlya_tusheniya_cb_ohl/,146.99,,СВОЯ
168193,"Цыпленок табака «Петелинка», вес",https://www.auchan.ru/product/cyplenok-tabaka-pet-vak/,349.99,,Петелинка
153529,"Мякоть бедра «Петруха» Халяль, 750 г",https://www.auchan.ru/product/myakot-bedr-750-g-hal-alfur/,372.99,,Петруха
57136,"Филе цыплят-бройлеров An-Noor Халяль охлажденное (0,9 - 1,2 кг), 1 упаковка ~ 1 кг",https://www.auchan.ru/product/file_cb_halyal_5kg_ohllotok/,459.99,,An-Noor
226706,"Филе бедра цыпленка-бройлера «Петелинка» (0,7-1,1 кг), 1 упаковка ~ 0,9",https://www.auchan.ru/product/file-bedra-petelinka-v-u-kg/,455.99,,Петелинка
55868,"Филе куриное «Петелинка» без кожи охлажденное, 1 упаковка ~ 1 кг",https://www.auchan.ru/product/file_kur1kg_ohlpetelinka/,481.49,,Петелинка
154151,"Тушка цыпленка-бройлера «Петруха» Alfoor (1,1-1,6 кг), 1 упаковка ~ 1,5 кг",https://www.auchan.ru/product/tushka-c-alfoor-hal-vu-ohl/,238.99,,Петруха
56848,"Грудка цыпленка-бройлера «Петелинка» без кожи охлажденная (0,8 - 1,1 кг), 1 упаковка ~ 0,9 кг",https://www.auchan.ru/product/grudka_bez_kozhi_petelinka_ohl/,353.99,,Петелинка
4555,"Филе курицы «Петруха» медальоны, 600 г",https://www.auchan.ru/product/file-iz-kuricy-petruha-medalony-600g/,301.99,,Петруха
139382,"Тушка утенка «Озерка» 1 Сорт охлажденная (1,7-2,6 кг), 1 упаковка ~ 2,1 кг",https://www.auchan.ru/product/tushka-utenka-1sort-ohl-vtu-ves/,444.99,,Озерка
139384,"Окорочок утенка «Озерка» Darfresh охлажденный (0,5-1 кг), 1 упаковка ~ 0,8 кг",https://www.auchan.ru/product/okorochok-utenka-ohl-darfresh/,730.99,,Озерка
139385,"Крылышки утенка «Озерка» охлажденные (0,5-1 кг), 1 упаковка ~ 0,8 кг",https://www.auchan.ru/product/krylyshki-utenka-ohl-gvu/,204.99,,Озерка
139387,"Набор для чахохбили утиный «Озерка» охлажденный (0,5-1 кг), 1 упаковка ~ 0,8 кг",https://www.auchan.ru/product/nabor-dlya-chahohbili-utinyy-ohl/,224.99,,Озерка
279500,"Квисо куриное «СВОЯ» в маринаде охлажденное, вес",https://www.auchan.ru/product/kviso-kurinoe-v-marinad-ohl-kg/,306.99,,СВОЯ
12860,"Филе грудки индейки «Индилайт» охлажденное, 500 г",https://www.auchan.ru/product/file-grudki-indeyki-indilayt-ohlazhdennoe-500-g/,279,,Индилайт
56875,"Филе бедра индейки «Пава Пава» охлажденное (2,5 - 3,2 кг), 1 упаковка ~ 3 кг",https://www.auchan.ru/product/file_bedra_indpavaval/,562.99,,Пава Пава
237115,"Филе голени индейки «Пава Пава» охлажденное, 800 г",https://www.auchan.ru/product/file-goleni-ind-pava-800g/,419.99,,Пава Пава
22905,"Мясо перепела Qegg грудка охлажденная, 350 г",https://www.auchan.ru/product/myaso-perepela-qegg-grudka-ohlazhdennaya-350-g/,435.99,,Qegg
222040,"Филе бедра индейкии «Пава Пава», 450 г",https://www.auchan.ru/product/file-bedra-ind-pava-pava-450g/,278.99,,Пава Пава
283697,"Крылья индейки «Пава Пава», 500 г",https://www.auchan.ru/product/krylo-ind-plech-chast-0-5-kg/,155.99,,Пава Пава
12862,"Медальон из индейки «Индилайт» охлажденный, 500 г",https://www.auchan.ru/product/medalon-iz-indeyki-indilayt-ohlazhdennyy-500-g/,315.99,,Индилайт
56193,"Крыло индейки «Индилайт» плечо охлажденное (1,7 - 2 кг), 1 упаковка ~ 1 кг",https://www.auchan.ru/product/krylo_ind_plecho_vu_gastro_ohl/,301.99,,Индилайт
199083,"Плечо крыла индейки «Каждый день» (0,8-1,2 кг), 1 упаковка ~ 1 кг",https://www.auchan.ru/product/kd-plecho-kryla-ind-ohl-v-u/,239.99,,Каждый день
4544,"Азу из индейки «Индилайт» охлажденное, 500 г",https://www.auchan.ru/product/azu-indilayt-iz-indeyki-ohlazhdennoe-500g/,270.99,,Индилайт
240845,"Котелты «Куросельские» семейные, 400 г",https://www.auchan.ru/product/kotlety-semeynye-lotok-0-4kg-ohl/,130.99,,Куросельские
199082,"Набор для тушения «Каждый день» из индейки (0,8-1,2 кг), 1 упаковка ~ 1 кг",https://www.auchan.ru/product/kd-nabor-dlya-tusheniya-ohl-v-u/,382.99,,Каждый день
272091,"Филе грудки индейки «Краснобор» большое охлажденное, 500 г",https://www.auchan.ru/product/file-grudki-ind-krb-500g/,288.99,,Краснобор
283308,"Филе голени индейки «Латифа», 450 г",https://www.auchan.ru/product/file-goleni-indeyki-450g-ltf/,230.99,,Латифа
111181,"Филе бедра индейки «Каждый день» (0,5-1 кг), 1 упаковка ~ 0,5 кг",https://www.auchan.ru/product/kdfile_bedra_ind_ohl_vu/,509.99,,Каждый день
